,dice_final,dice_gap_final,assd_final,hausdorff_final
0,0.97467065,0.9539067,0,0
1,0.9798599,0.9482417,0,0
2,0.98041296,0.94866276,0,0
3,0.9662077,0.94984436,0,0
4,0.98224145,0.94375277,0,0
5,0.9875955,0.9587676,0,0
6,0.9808027,0.9563244,0,0
